Filename       a        mu       tau       a0
simul_1-876-32-7.1-0.78-48-0.37-1.6-0.0015-20-83-18.7-605-15-1.dat   69.64937815186144   22.211911400368585   1.421517000946213   1.3534351818482998e-19     1
simul_9-269-50-4.6-1-27.400000000000002-0.37-0.6-0.0015-20-83-18.7-605-22-5.dat   681.7792810910453   209.56405324878656   2.187224311454244   1.596858044133415e-22     1
simul_2-656-10-7.1-0.66-30.6-0.37-0.6-0.0015-20-83-18.7-605-0-5.dat   63.11897215101864   9.088032468680728   3.337689545119581   3.558597933501726e-17     1
simul_8-618-35-2.3000000000000003-0.33-21.5-0.37-0.6-0.0015-20-83-18.7-605-13-0.dat   219.5561557025882   51.91067158813138   2.298716793114317   4.374850512752907e-20     1
simul_2-334-45-8.2-0.48-0.2-0.37-0.1-0.0015-20-83-18.7-605-18-3.dat   1.0628742514433478   0.11581134610446724   5.399985805657108   0.9999999999999999     1
simul_2-858-45-8.3-0.68-92.80000000000001-0.37-1.1-0.0015-20-83-18.7-605-12-1.dat   126.03536133414335   43.41650573975379   1.597212159953443   2.4012087910460923e-16     1
simul_7-156-19-8.2-0.6900000000000001-50.300000000000004-0.37-1.6-0.0015-20-83-18.7-605-4-0.dat   447.85685542508173   34.92930759815703   3.367834899692806   3.027963689733535e-19     1
simul_5-417-26-9.6-0.59-28.200000000000003-0.37-0.6-0.0015-20-83-18.7-605-25-5.dat   239.4454416483343   54.87526321728474   2.5258444131722335   1.4242969604108053e-18     1
simul_1-523-36-9.3-0.66-98.80000000000001-0.37-0.6-0.0015-20-83-18.7-605-22-1.dat   111.40005034278276   31.583078274112314   1.5293058678273592   4.376679842317049e-19     1
simul_10-283-23-5.8-0.14-24.5-0.37-1.1-0.0015-20-83-18.7-605-29-5.dat   303.2298788138681   15.97631857942763   3.191037999270792   2.7814349086145305e-15     1
simul_1-951-30-2.2-0.24-96.5-0.37-1.1-0.0015-20-83-18.7-605-21-5.dat   65.93642615694147   23.62089482264519   1.4507071697227292   1.6705764387375554e-17     1
simul_3-952-24-1.7000000000000002-0.6900000000000001-32.300000000000004-0.37-1.6-0.0015-20-83-18.7-605-19-2.dat   103.9575846917434   24.47714190533939   2.136713417542589   1.8312607370375184e-19     1
simul_4-360-16-8.8-0.41000000000000003-40.300000000000004-0.37-0.6-0.0015-20-83-18.7-605-26-4.dat   194.69638231306766   31.065703291822942   3.073553803470444   8.833524985006854e-22     1
simul_7-799-29-0.8-0.43-51.800000000000004-0.37-1.6-0.0015-20-83-18.7-605-2-2.dat   162.26987459863764   29.03027771131004   4.127839109069292   7.602639831887978e-16     1
simul_2-700-18-9.700000000000001-0.87-82.7-0.37-1.1-0.0015-20-83-18.7-605-13-1.dat   100.60120703189438   22.267013821804152   2.2671991052120304   1.346282097565953e-18     1
simul_10-911-35-8.6-0.65-40.7-0.37-1.6-0.0015-20-83-18.7-605-8-4.dat   167.2591632770947   34.877029408932195   1.988564621322026   1.7387017962861195e-19     1
simul_9-903-11-1.4000000000000001-0.56-22.700000000000003-0.37-1.1-0.0015-20-83-18.7-605-16-1.dat   37.99940546167837   3.406157703516034   3.3355880437736305   3.8857579633152824e-15     1
simul_2-613-48-7.4-0.22-36.1-0.37-1.6-0.0015-20-83-18.7-605-14-2.dat   200.96320885548593   62.28354910947523   1.8075023525897054   1.677194051536257e-15     1
simul_4-404-23-9.3-0.96-80.5-0.37-1.6-0.0015-20-83-18.7-605-10-1.dat   259.1183615632204   44.94015658153715   2.2450027981198866   2.047332701980513e-16     1
simul_2-655-33-6.4-0.26-74.10000000000001-0.37-1.6-0.0015-20-83-18.7-605-3-0.dat   159.82795806748283   29.801233808525225   2.0623420824492484   8.493157877563584e-14     1
simul_9-79-44-5.1-0-91.4-0.37-1.6-0.0015-20-83-18.7-605-26-3.dat   4.506008631436035   4.158498492606441   0.23712501388147394   0.5959573273391773     1
simul_5-888-43-2.3000000000000003-0.42-22-0.37-1.6-0.0015-20-83-18.7-605-23-0.dat   171.74301572548862   43.96258143760163   2.058994892844347   9.724363265919343e-19     1
simul_6-632-32-9.8-0.53-4.4-0.37-1.1-0.0015-20-83-18.7-605-18-5.dat   39.296347340924314   2.547826146260204   4.398472403173229   7.135100510763739e-17     1
simul_1-19-34-0.1-0.64-81.80000000000001-0.37-0.1-0.0015-20-83-18.7-605-16-0.dat   1.3684210526315788   0.7833317071293703   2.7414739994822286   0.9999999999999999     1
simul_2-37-41-9.8-0.02-32.7-0.37-1.1-0.0015-20-83-18.7-605-15-4.dat   1756.7297297297296   272.7834803896254   5.215454574333998   0.9999999999999999     1
simul_1-201-44-3.4000000000000004-0.04-99.2-0.37-1.6-0.0015-20-83-18.7-605-11-3.dat   310.59139138371376   67.99736123898998   2.2309216607258073   1.0551547250489082e-14     1
simul_5-337-10-7.5-0.92-97.30000000000001-0.37-0.6-0.0015-20-83-18.7-605-13-3.dat   147.79543389193506   21.856024918717317   4.030973697181032   4.540362434067996e-20     1
simul_5-516-35-0.4-0.73-82.30000000000001-0.37-1.6-0.0015-20-83-18.7-605-21-3.dat   252.3740310077519   32.157450179153415   10.039291785518719   0.9999999999999999     1
simul_6-528-50-1.8000000000000003-0.67-93.60000000000001-0.37-1.6-0.0015-20-83-18.7-605-26-1.dat   340.1649685084246   72.88553736096004   2.2871258147983617   3.6043465296233064e-16     1
simul_9-773-35-9.3-0.74-33.2-0.37-0.6-0.0015-20-83-18.7-605-29-2.dat   227.32253625820016   87.25806311649245   2.0794665568449293   5.5841350333240155e-15     1
simul_2-519-48-3.6-0.59-9-0.37-1.1-0.0015-20-83-18.7-605-12-4.dat   89.3230358087543   12.336501749641476   3.0579336576871645   1.937567272373405e-16     1
simul_9-924-47-2-0.53-55.800000000000004-0.37-1.1-0.0015-20-83-18.7-605-0-3.dat   238.86757558002643   72.75460754256889   2.0860742245498822   6.725516665901029e-17     1
simul_2-566-29-5.3-0.33-77.5-0.37-1.6-0.0015-20-83-18.7-605-2-4.dat   154.61221301093877   30.674839894462572   2.265553065533106   1.0364562600339448e-14     1
simul_5-698-30-3.5000000000000004-0.24-10.100000000000001-0.37-1.1-0.0015-20-83-18.7-605-14-3.dat   78.47089076597672   7.416636284818001   3.163380489726232   7.732166820727488e-19     1
simul_8-708-41-5.2-0.43-36.300000000000004-0.37-1.1-0.0015-20-83-18.7-605-19-3.dat   241.77432677899426   63.62323974435884   2.0955460692020917   2.6886501796737768e-17     1
simul_8-513-44-5.4-0.76-15.4-0.37-0.6-0.0015-20-83-18.7-605-12-0.dat   218.3914743203171   56.371692138574005   2.531331846592779   8.413776357256084e-16     1
simul_3-991-13-5.2-0.14-40.5-0.37-1.1-0.0015-20-83-18.7-605-5-0.dat   58.97152856240723   6.4018874162725075   2.860981927703345   1.1078486171403669e-17     1
